player,name,search_key,nationalite,nationalites_brut,postes,nb_clubs,apps_top5,sitelinks,championnats,first_year,last_year,matchs_grands_clubs,score,difficulte
Q10396798,Matt Clarke,matt clarke,Royaume-Uni,Royaume-Uni,gardien de but,6,42,5,PL,1992,2004,0,9,legende
Q10399189,Nick Wright,nick wright,Royaume-Uni,Royaume-Uni,attaquant,3,7,3,PL,1994,2003,0,4,exclu
Q10401761,Phil Stamp,phil stamp,Royaume-Uni,Royaume-Uni,milieu de terrain,4,39,6,PL,1993,2007,0,10,legende
Q10401767,Jamie Cade,jamie cade,Royaume-Uni,Royaume-Uni,attaquant,9,0,5,PL,2001,2011,0,5,exclu
Q10401988,Simon Johnson,simon johnson,Royaume-Uni,Royaume-Uni,milieu de terrain,15,9,5,PL,2000,2013,0,6,exclu
Q10407352,Mathieu Moreau,mathieu moreau,France,France,gardien de but,7,0,4,SA,2003,2012,0,4,exclu
Q10408576,Danny Foster,danny foster,Angleterre,Royaume-Uni,arrière latéral,4,0,4,PL,2002,2013,0,4,exclu
Q10410097,Jamie Annerson,jamie annerson,Royaume-Uni,Royaume-Uni,gardien de but,6,0,6,PL,2006,2013,0,6,exclu
Q10410334,Luca Ceccarelli,luca ceccarelli,Italie,Italie,défenseur,13,12,5,SA,2001,2015,0,6,legende
Q10413152,Nick Wright,nick wright,Royaume-Uni,Royaume-Uni,attaquant,15,0,2,PL,2005,2015,0,2,exclu
Q10414193,John Dreyer,john dreyer,Royaume-Uni,Royaume-Uni,défenseur,10,20,6,PL,1984,2003,0,8,legende
Q10421241,Pat Flynn,pat flynn,Irlande,Irlande,défenseur,8,0,4,PL,2003,2013,0,4,exclu
Q10423037,Alessio Tombesi,alessio tombesi,Italie,Italie,défenseur,12,2,4,SA,2000,2012,0,4,exclu
Q10436504,Gianluca Frontino,gianluca frontino,Suisse,Suisse,milieu de terrain,7,0,4,SA,2007,2017,0,4,exclu
Q10441917,Jamie Clarke,jamie clarke,Royaume-Uni,Royaume-Uni,attaquant,4,0,5,PL,2007,2010,0,5,exclu
Q10443872,Jermaine Brown,jermaine brown,Royaume-Uni,Royaume-Uni,milieu de terrain,7,0,6,PL,2001,2006,0,6,exclu
Q10445086,Jack Jeffery,jack jeffery,Royaume-Uni,Royaume-Uni,attaquant,10,0,3,PL,2007,2014,0,3,exclu
Q10452041,Nicholas Bignall,nicholas bignall,Royaume-Uni,Royaume-Uni,milieu excentré,13,0,6,PL,2008,2015,0,6,exclu
Q10460653,Mile Božić,mile bozic,Croatie,Croatie,défenseur,7,0,3,BUN,2000,2009,0,3,exclu
Q10466419,David Hutton,david hutton,Royaume-Uni,Royaume-Uni,milieu de terrain,12,0,4,PL,2006,2015,0,4,exclu
Q10468816,Benoît Tardieu,benoit tardieu,Bénin,Bénin,gardien de but,4,0,3,L1,2005,2009,0,3,exclu
Q10472918,Neil Tarrant,neil tarrant,Royaume-Uni,Royaume-Uni,attaquant,15,0,4,PL,1996,2006,0,4,exclu
Q10473823,Wilker Pereira dos Santos,wilker pereira dos santos,Brésil,Brésil,attaquant,10,1,5,SA,2005,2015,0,5,exclu
Q10475834,James Pullen,james pullen,Royaume-Uni,Royaume-Uni,gardien de but,10,1,2,PL,1999,2012,0,2,exclu
Q10478280,Jonathan Page,jonathan page,Royaume-Uni,Royaume-Uni,défenseur,7,0,3,PL,2006,2015,0,3,exclu
Q10482905,Marco Moro,marco moro,Italie,Italie,attaquant,10,0,4,SA,2002,2014,0,4,exclu
Q10490126,James Collins,james collins,Royaume-Uni,Royaume-Uni,attaquant,7,0,9,PL,2009,2014,0,9,exclu
Q10490646,Dinu Sânmărtean,dinu sanmartean,Roumanie,Roumanie,défenseur,10,24,3,BUN / LIGA / PL,2001,2014,24,10,legende
Q10491042,José Romero Jiménez,jose romero jimenez,Espagne,Espagne,attaquant,8,2,6,LIGA,2005,2014,0,6,exclu
Q10491242,Noel Alonso,noel alonso,Espagne,Espagne,défenseur,10,3,5,LIGA,2005,2014,0,5,exclu
Q10491480,Ibon Larrazábal,ibon larrazabal,Espagne,Espagne,milieu défensif,6,2,5,LIGA,1998,2013,0,5,exclu
Q10491562,Joshua Zapata,joshua zapata,Espagne,Espagne,milieu de terrain,7,1,6,LIGA,2007,2015,1,6,exclu
Q10492080,Mehdi Bourabia,mehdi bourabia,France,France,milieu de terrain,4,6,18,L1,2009,2017,0,19,exclu
Q10492839,Léonard Mendy,leonard mendy,France,France,défenseur,9,0,4,L1,2001,2012,0,4,exclu
Q10492886,Jean-Baptiste Le Bescond,jeanbaptiste le bescond,France,France,milieu de terrain,6,2,4,L1,2002,2009,0,4,exclu
Q10492937,Mickaël Pontal,mickael pontal,France,France,défenseur,4,4,4,L1,1998,2008,0,4,exclu
Q10493144,Julien Perrin,julien perrin,France,France,attaquant,6,1,4,L1,2003,2012,0,4,exclu
Q10494081,Calum Butcher,calum butcher,Royaume-Uni,Royaume-Uni,défenseur,6,0,10,PL,2009,2015,0,10,exclu
Q10494611,Stuart Anderson,stuart anderson,Royaume-Uni,Royaume-Uni,milieu de terrain,10,0,4,PL,2003,2014,0,4,exclu
Q10496190,Sergio Torres Guardeño,sergio torres guardeno,Espagne,Espagne,milieu de terrain,12,0,5,LIGA,2002,2014,0,5,exclu
Q10496893,Lamine Tamba,lamine tamba,Sénégal,Sénégal,défenseur,8,0,2,L1,2004,2015,0,2,exclu
Q10498391,Paul Downing,paul downing,Royaume-Uni,Royaume-Uni,défenseur,6,0,6,PL,2009,2012,0,6,exclu
Q10499992,Mark Oxley,mark oxley,Royaume-Uni,Royaume-Uni,gardien de but,7,1,10,PL,2007,2015,0,10,exclu
Q10500459,Gianluca Zanetti,gianluca zanetti,Italie,Italie,défenseur,15,0,4,SA,1996,2011,0,4,exclu
Q10500753,Stefano Pettinari,stefano pettinari,Italie,Italie,milieu de terrain,7,1,6,SA,2009,2016,1,6,exclu
Q10502548,Luke Ayling,luke ayling,Royaume-Uni,Royaume-Uni,défenseur,3,0,25,PL,2009,2014,0,25,exclu
Q10504873,José Taira,jose taira,Portugal,Portugal,milieu de terrain,7,10,8,LIGA,1987,2004,10,11,legende
Q10504910,Riccardo Pasi,riccardo pasi,Italie,Italie,milieu de terrain,7,6,4,SA,2010,2015,0,5,exclu
Q10505052,Valerio Anastasi,valerio anastasi,Italie,Italie,attaquant,11,1,4,SA,2008,2015,0,4,exclu
Q10505156,Yobie Bassoule,yobie bassoule,Burkina Faso,Burkina Faso,défenseur,3,0,2,SA,2009,2012,0,2,exclu
Q10505207,Ivan Loseto,ivan loseto,Italie,Italie,défenseur,5,6,3,SA,2007,2012,0,4,exclu
Q10505439,Roberto Cortese,roberto cortese,Italie,Italie,attaquant,14,0,2,SA,2000,2012,0,2,exclu
Q10505460,Matteo Merini,matteo merini,Italie,Italie,attaquant,6,0,4,SA,2007,2011,0,4,exclu
Q10507485,Yaovi Aziabou,yaovi aziabou,Togo,Togo,milieu de terrain,2,1,3,L1,2007,2009,0,3,exclu
Q10510843,Mariano Romano,mariano romano,Italie,Italie,milieu de terrain,9,0,4,SA,2009,2015,0,4,exclu
Q10511700,James Ellison,james ellison,Royaume-Uni,Royaume-Uni,attaquant,12,0,6,PL,2009,2015,0,6,exclu
Q10512869,Lovre Kalinić,lovre kalinic,Croatie,Croatie,gardien de but,7,9,40,L1 / PL,2009,2022,0,41,exclu
Q10513456,Lee Butcher,lee butcher,Royaume-Uni,Royaume-Uni,gardien de but,7,0,5,PL,2008,2013,0,5,exclu
Q10513514,Jacopo Fortunato,jacopo fortunato,Italie,Italie,milieu de terrain,6,0,4,SA,2010,2015,0,4,exclu
Q10513615,Maycol Andriani,maycol andriani,Italie,Italie,milieu de terrain,5,0,3,SA,2006,2009,0,3,exclu
Q10513629,Nicolò De Cesare,nicolo de cesare,Italie,Italie,milieu de terrain,4,0,5,SA,2008,2013,0,5,exclu
Q10513776,David Gbemie,david gbemie,Liberia,Liberia,défenseur central,3,0,1,PL,2008,2010,0,1,exclu
