player,playerLabel,natLabel,posLabel,sitelinks
http://www.wikidata.org/entity/Q5068315,Chaker Alhadhur,France,défenseur,19
http://www.wikidata.org/entity/Q5068315,Chaker Alhadhur,Comores,défenseur,19
http://www.wikidata.org/entity/Q5084718,Charlie Comyn-Platt,Royaume-Uni,défenseur,4
http://www.wikidata.org/entity/Q5085618,Charlie Took,Cameroun,défenseur,5
http://www.wikidata.org/entity/Q5103394,Cho Won-kwang,Corée du Sud,défenseur,3
http://www.wikidata.org/entity/Q5105686,Chris Adamson,Royaume-Uni,gardien de but,8
http://www.wikidata.org/entity/Q5105754,Chris Armstrong,Royaume-Uni,milieu de terrain,6
http://www.wikidata.org/entity/Q5105884,Chris Bennion,Royaume-Uni,gardien de but,3
http://www.wikidata.org/entity/Q5106169,Chris Clark,Royaume-Uni,milieu de terrain,5
http://www.wikidata.org/entity/Q5106374,Chris Day,Royaume-Uni,gardien de but,9
http://www.wikidata.org/entity/Q5106933,Chris Howarth,Royaume-Uni,gardien de but,3
http://www.wikidata.org/entity/Q5107101,Chris Kettings,Royaume-Uni,gardien de but,7
http://www.wikidata.org/entity/Q5107285,Chris Lucketti,Royaume-Uni,défenseur central,5
http://www.wikidata.org/entity/Q5107285,Chris Lucketti,Royaume-Uni,défenseur,5
http://www.wikidata.org/entity/Q5107343,Chris Marsden,Royaume-Uni,milieu de terrain,6
http://www.wikidata.org/entity/Q5107628,Chris O'Grady,Royaume-Uni,attaquant,11
http://www.wikidata.org/entity/Q5107895,Chris Robertson,Royaume-Uni,défenseur,4
http://www.wikidata.org/entity/Q5108489,Chris Willmott,Royaume-Uni,défenseur,4
http://www.wikidata.org/entity/Q5109350,Christian Bravo,Chili,milieu excentré,12
http://www.wikidata.org/entity/Q5109577,Christian Esposito,Australie,attaquant,5
http://www.wikidata.org/entity/Q5109677,Christian Hanson,Royaume-Uni,défenseur,3
http://www.wikidata.org/entity/Q5110077,Christian Ritter,Allemagne,attaquant,4
http://www.wikidata.org/entity/Q5111850,Christopher Anderson,Royaume-Uni,milieu de terrain,5
http://www.wikidata.org/entity/Q5112787,Christopher Maboulou,France,défenseur,12
http://www.wikidata.org/entity/Q5112787,Christopher Maboulou,République du Congo,défenseur,12
http://www.wikidata.org/entity/Q5119133,Ciaran Donnelly,Royaume-Uni,milieu de terrain,5
http://www.wikidata.org/entity/Q5129035,Claude Stephane Seanla,Côte d'Ivoire,attaquant,3
http://www.wikidata.org/entity/Q5133944,Clint Easton,Royaume-Uni,milieu de terrain,6
http://www.wikidata.org/entity/Q5134545,Clive Delaney,Irlande,défenseur,3
http://www.wikidata.org/entity/Q5134630,Clive Mendonca,Royaume-Uni,attaquant,4
http://www.wikidata.org/entity/Q5137288,Clément Rigaud,France,gardien de but,3
http://www.wikidata.org/entity/Q5145326,Colin Marrison,Royaume-Uni,attaquant,2
http://www.wikidata.org/entity/Q5145412,Colin Miles,Royaume-Uni,défenseur,3
http://www.wikidata.org/entity/Q5157925,Con Blatsis,Australie,défenseur,9
http://www.wikidata.org/entity/Q5162570,Conrad Logan,Irlande,gardien de but,12
http://www.wikidata.org/entity/Q5180907,Craig Dove,Royaume-Uni,milieu de terrain,6
http://www.wikidata.org/entity/Q5181183,Craig Mahon,Irlande,milieu excentré,4
http://www.wikidata.org/entity/Q5186192,Cristian Galano,Italie,attaquant,14
http://www.wikidata.org/entity/Q5186230,Cristian Montaño,Colombie,milieu excentré,8
http://www.wikidata.org/entity/Q5186516,Cristóbal Gil Martín,Espagne,milieu de terrain,6
http://www.wikidata.org/entity/Q5195465,Sebastián Rodríguez,Uruguay,milieu de terrain,14
