player,playerLabel,natLabel,posLabel,sitelinks
http://www.wikidata.org/entity/Q313307,Jean Beausejour,Chili,milieu excentré,48
http://www.wikidata.org/entity/Q313314,Bartosz Bosacki,Pologne,arrière latéral,31
http://www.wikidata.org/entity/Q313724,Michael Beauchamp,Australie,défenseur central,28
http://www.wikidata.org/entity/Q313741,Andrés D'Alessandro,Italie,milieu de terrain,33
http://www.wikidata.org/entity/Q313741,Andrés D'Alessandro,Brésil,milieu de terrain,33
http://www.wikidata.org/entity/Q313741,Andrés D'Alessandro,Argentine,milieu de terrain,33
http://www.wikidata.org/entity/Q313741,Andrés D'Alessandro,Italie,défenseur,33
http://www.wikidata.org/entity/Q313741,Andrés D'Alessandro,Brésil,défenseur,33
http://www.wikidata.org/entity/Q313741,Andrés D'Alessandro,Argentine,défenseur,33
http://www.wikidata.org/entity/Q313822,Kóstas Fortoúnis,Grèce,milieu de terrain,34
http://www.wikidata.org/entity/Q313952,Roman Hubník,Tchéquie,défenseur,33
http://www.wikidata.org/entity/Q313968,Ahn Jung-hwan,Corée du Sud,attaquant,36
http://www.wikidata.org/entity/Q314395,Ryad Boudebouz,France,milieu de terrain,32
http://www.wikidata.org/entity/Q314719,Humberto Suazo,Chili,attaquant,33
http://www.wikidata.org/entity/Q314731,Danny Shittu,Nigeria,défenseur central,31
http://www.wikidata.org/entity/Q314901,Phil O'Donnell,Royaume-Uni,milieu de terrain,29
http://www.wikidata.org/entity/Q315327,Stanislav Šesták,Slovaquie,milieu excentré,36
http://www.wikidata.org/entity/Q315421,Kai Michalke,Allemagne,attaquant,10
http://www.wikidata.org/entity/Q315674,Egidio Arévalo,Uruguay,milieu de terrain,33
http://www.wikidata.org/entity/Q315674,Egidio Arévalo,Mexique,milieu de terrain,33
http://www.wikidata.org/entity/Q315787,Mario Frick,Liechtenstein,attaquant,32
http://www.wikidata.org/entity/Q315791,Vratislav Lokvenc,Tchéquie,attaquant,35
http://www.wikidata.org/entity/Q316316,Ralf Bucher,Allemagne,défenseur,7
http://www.wikidata.org/entity/Q316586,Radosav Petrović,Serbie,milieu de terrain,32
http://www.wikidata.org/entity/Q316605,Nenad Milijaš,Serbie,milieu de terrain,35
http://www.wikidata.org/entity/Q316635,Grétar Steinsson,Islande,arrière latéral,26
http://www.wikidata.org/entity/Q316728,Julio César Cáceres,Paraguay,défenseur central,29
http://www.wikidata.org/entity/Q316733,Paulo Jorge Gomes Bento,Portugal,milieu de terrain,39
http://www.wikidata.org/entity/Q316799,Henri Camara,France,attaquant,32
http://www.wikidata.org/entity/Q316799,Henri Camara,Sénégal,attaquant,32
http://www.wikidata.org/entity/Q316846,Tobias Mikkelsen,Royaume de Danemark,milieu excentré,25
http://www.wikidata.org/entity/Q316909,Carsten Wolters,Allemagne,arrière latéral,8
http://www.wikidata.org/entity/Q317293,Mikael Nilsson,Suède,milieu de terrain,29
http://www.wikidata.org/entity/Q317293,Mikael Nilsson,Suède,défenseur,29
http://www.wikidata.org/entity/Q317293,Mikael Nilsson,Suède,arrière latéral,29
http://www.wikidata.org/entity/Q317339,Thomas Hengen,Allemagne,défenseur,8
http://www.wikidata.org/entity/Q317347,Majeed Waris,Ghana,milieu excentré,30
http://www.wikidata.org/entity/Q317357,Andreas Schmidt,Allemagne,défenseur,8
http://www.wikidata.org/entity/Q317383,Jürgen Rische,Allemagne,attaquant,7
http://www.wikidata.org/entity/Q317383,Jürgen Rische,République démocratique allemande,attaquant,7
http://www.wikidata.org/entity/Q317389,Baba Rahman,Ghana,défenseur central,43
http://www.wikidata.org/entity/Q317389,Baba Rahman,Ghana,arrière latéral,43
http://www.wikidata.org/entity/Q317418,Timo Staffeldt,Allemagne,milieu de terrain,8
http://www.wikidata.org/entity/Q317451,Kai Bülow,Allemagne,milieu de terrain,12
http://www.wikidata.org/entity/Q317566,René Tretschok,Allemagne,milieu de terrain,13
http://www.wikidata.org/entity/Q317566,René Tretschok,République démocratique allemande,milieu de terrain,13
http://www.wikidata.org/entity/Q317754,Ricardo Gardner,Jamaïque,arrière latéral,29
http://www.wikidata.org/entity/Q317803,Matt Le Tissier,Royaume-Uni,milieu de terrain,34
http://www.wikidata.org/entity/Q317882,Frédéric Da Rocha,France,milieu de terrain,14
http://www.wikidata.org/entity/Q318092,Axel Keller,Allemagne,gardien de but,9
http://www.wikidata.org/entity/Q318103,Shaka Hislop,Royaume-Uni,gardien de but,31
http://www.wikidata.org/entity/Q318103,Shaka Hislop,Trinité-et-Tobago,gardien de but,31
http://www.wikidata.org/entity/Q318436,Abel Gómez Moreno,Espagne,milieu de terrain,17
http://www.wikidata.org/entity/Q318524,Ján Ďurica,Slovaquie,défenseur central,31
http://www.wikidata.org/entity/Q318524,Ján Ďurica,Slovaquie,défenseur,31
http://www.wikidata.org/entity/Q318595,Filip Tapalović,Allemagne,milieu de terrain,9
http://www.wikidata.org/entity/Q318795,Jonathan Santana,Argentine,milieu de terrain,28
http://www.wikidata.org/entity/Q318795,Jonathan Santana,Paraguay,milieu de terrain,28
http://www.wikidata.org/entity/Q319220,Silvio Schröter,Allemagne,milieu de terrain,6
http://www.wikidata.org/entity/Q319220,Silvio Schröter,République démocratique allemande,milieu de terrain,6
http://www.wikidata.org/entity/Q319271,Benjamin Lense,Allemagne,défenseur,9
http://www.wikidata.org/entity/Q319425,Steffen Heidrich,Allemagne,milieu de terrain,11
http://www.wikidata.org/entity/Q319425,Steffen Heidrich,République démocratique allemande,milieu de terrain,11
http://www.wikidata.org/entity/Q319454,Dexter Langen,Allemagne,défenseur,8
