player,playerLabel,natLabel,posLabel,sitelinks
http://www.wikidata.org/entity/Q934005,Mariano Julio Izco,Argentine,milieu de terrain,16
http://www.wikidata.org/entity/Q934766,David Edwards,Royaume-Uni,milieu de terrain,30
http://www.wikidata.org/entity/Q935097,Saïdou Panandétiguiri,Burkina Faso,arrière latéral,16
http://www.wikidata.org/entity/Q936583,Corona,Espagne,milieu de terrain,18
http://www.wikidata.org/entity/Q937015,Grégory Ursule,France,milieu de terrain,4
http://www.wikidata.org/entity/Q937120,Mozart,Brésil,milieu de terrain,18
http://www.wikidata.org/entity/Q937179,José Ortiz Bernal,Espagne,milieu de terrain,15
http://www.wikidata.org/entity/Q937218,Guilherme Oliveira Santos,Brésil,arrière latéral,25
http://www.wikidata.org/entity/Q937260,Frédéric Biancalani,France,défenseur,8
http://www.wikidata.org/entity/Q939047,Kevin Kratz,Allemagne,milieu de terrain,12
http://www.wikidata.org/entity/Q939383,Jason Shackell,Royaume-Uni,défenseur,19
http://www.wikidata.org/entity/Q939454,Igor Protti,Italie,attaquant,21
http://www.wikidata.org/entity/Q939455,Harald Wapenaar,Royaume des Pays-Bas,gardien de but,9
http://www.wikidata.org/entity/Q939662,Hólmar Örn Eyjólfsson,Islande,défenseur central,34
http://www.wikidata.org/entity/Q940395,Diego Figueredo,Paraguay,milieu de terrain,17
http://www.wikidata.org/entity/Q940740,Gaspar,Brésil,milieu de terrain,11
http://www.wikidata.org/entity/Q940803,Ousmane Nyan,Norvège,milieu de terrain,7
http://www.wikidata.org/entity/Q941007,Stanislav Anguelov,Bulgarie,défenseur,15
http://www.wikidata.org/entity/Q941577,Ron Stam,Royaume des Pays-Bas,milieu de terrain,14
http://www.wikidata.org/entity/Q941874,Alain Nkong,Cameroun,milieu de terrain,13
http://www.wikidata.org/entity/Q942509,Ferhan Hasani,Macédoine du Nord,milieu excentré,23
http://www.wikidata.org/entity/Q944366,Matthew Hill,Royaume-Uni,arrière latéral,8
http://www.wikidata.org/entity/Q944580,Nenad Jestrović,Serbie,attaquant,14
http://www.wikidata.org/entity/Q945726,Dario Hübner,Italie,attaquant,22
http://www.wikidata.org/entity/Q946440,Steven Thicot,France,milieu de terrain,16
http://www.wikidata.org/entity/Q946440,Steven Thicot,France,défenseur,16
http://www.wikidata.org/entity/Q946477,Alexandre Barthe,France,défenseur,12
http://www.wikidata.org/entity/Q947236,Magnus Arvidsson,Suède,attaquant,6
http://www.wikidata.org/entity/Q947554,Peter Kurucz,Hongrie,gardien de but,9
http://www.wikidata.org/entity/Q947752,Michele Mignani,Italie,défenseur,10
http://www.wikidata.org/entity/Q948402,Bruno Soares,Brésil,défenseur central,13
http://www.wikidata.org/entity/Q948402,Bruno Soares,Brésil,défenseur,13
