player,playerLabel,natLabel,posLabel,sitelinks
http://www.wikidata.org/entity/Q1390209,Fabian Baumgärtel,Allemagne,arrière latéral,5
http://www.wikidata.org/entity/Q1390255,Fabian Holland,Allemagne,milieu de terrain,17
http://www.wikidata.org/entity/Q1390287,Fabian Montabell,Allemagne,attaquant,4
http://www.wikidata.org/entity/Q1392512,Mariusz Stępiński,Pologne,attaquant,27
http://www.wikidata.org/entity/Q1393834,Stéphane Pignol,France,défenseur,11
http://www.wikidata.org/entity/Q1394027,Thomas Rathgeber,Allemagne,attaquant,4
http://www.wikidata.org/entity/Q1395096,Jonas Kamper,Royaume de Danemark,milieu excentré,11
http://www.wikidata.org/entity/Q1395522,Faneva Andriatsima,France,attaquant,16
http://www.wikidata.org/entity/Q1395522,Faneva Andriatsima,Madagascar,attaquant,16
http://www.wikidata.org/entity/Q1396846,Sinan Kaloğlu,Turquie,attaquant,14
http://www.wikidata.org/entity/Q1398117,Fatih Yiğituşağı,Turquie,attaquant,4
http://www.wikidata.org/entity/Q1398658,Luke Daniels,Royaume-Uni,gardien de but,15
http://www.wikidata.org/entity/Q1398845,Roger Nilsen,Norvège,défenseur,19
http://www.wikidata.org/entity/Q1399563,Maor Melikson,Israël,milieu excentré,12
http://www.wikidata.org/entity/Q1399910,Marlon Krause,Allemagne,milieu de terrain,5
http://www.wikidata.org/entity/Q1401421,Mark Little,Royaume-Uni,arrière latéral,12
http://www.wikidata.org/entity/Q1401825,Roland Varga,Hongrie,milieu de terrain,18
http://www.wikidata.org/entity/Q1401825,Roland Varga,Hongrie,milieu excentré,18
http://www.wikidata.org/entity/Q1402153,Feiz Shamsin,Liban,attaquant,9
http://www.wikidata.org/entity/Q1402404,Jörg Neun,Allemagne,défenseur,5
http://www.wikidata.org/entity/Q1403053,Felicio Brown Forbes,Allemagne,milieu de terrain,15
http://www.wikidata.org/entity/Q1403053,Felicio Brown Forbes,Costa Rica,milieu de terrain,15
http://www.wikidata.org/entity/Q1403053,Felicio Brown Forbes,Allemagne,attaquant,15
http://www.wikidata.org/entity/Q1403053,Felicio Brown Forbes,Costa Rica,attaquant,15
http://www.wikidata.org/entity/Q1403053,Felicio Brown Forbes,Allemagne,défenseur,15
http://www.wikidata.org/entity/Q1403053,Felicio Brown Forbes,Costa Rica,défenseur,15
http://www.wikidata.org/entity/Q1403385,Felix Burmeister,Allemagne,défenseur,9
http://www.wikidata.org/entity/Q1403552,Pierpaolo Bisoli,Italie,milieu de terrain,11
