player,playerLabel,natLabel,posLabel,sitelinks
http://www.wikidata.org/entity/Q3701949,Daniele Di Donato,Italie,milieu de terrain,5
http://www.wikidata.org/entity/Q3703263,David Meza Colli,Paraguay,milieu de terrain,6
http://www.wikidata.org/entity/Q3705456,Denis Tonucci,Italie,défenseur central,7
http://www.wikidata.org/entity/Q3713015,Domenico Di Cecco,Italie,milieu de terrain,5
http://www.wikidata.org/entity/Q3723827,Emmanuel Gigliotti,Argentine,attaquant,21
http://www.wikidata.org/entity/Q3724003,Emanuele Testardi,Italie,attaquant,6
http://www.wikidata.org/entity/Q3724692,Emmanuel Osei,Ghana,défenseur,6
http://www.wikidata.org/entity/Q3725771,Enrico Franchi,Italie,défenseur,1
http://www.wikidata.org/entity/Q3732513,Eros Schiavon,Italie,milieu de terrain,5
http://www.wikidata.org/entity/Q3733786,Etienne Eto'o,Cameroun,attaquant,4
http://www.wikidata.org/entity/Q3737821,Fabio Roselli,Italie,milieu de terrain,6
http://www.wikidata.org/entity/Q3740405,Fausto Rossi,Italie,milieu de terrain,18
http://www.wikidata.org/entity/Q3741684,Federico Cossato,Italie,attaquant,5
http://www.wikidata.org/entity/Q3741690,Federico Crovari,Italie,milieu de terrain,4
http://www.wikidata.org/entity/Q3741739,Federico Giampaolo,Italie,attaquant,6
http://www.wikidata.org/entity/Q3742945,Fernando Pasquinelli,Argentine,attaquant,5
http://www.wikidata.org/entity/Q3745162,Filippo Cristante,Italie,défenseur,5
http://www.wikidata.org/entity/Q3749914,Francesco Dettori,Italie,milieu de terrain,7
http://www.wikidata.org/entity/Q3750302,Francesco Millesi,Italie,milieu de terrain,5
http://www.wikidata.org/entity/Q3750385,Francesco Palmieri,Italie,attaquant,2
http://www.wikidata.org/entity/Q3750668,Francesco Signori,Italie,milieu de terrain,8
http://www.wikidata.org/entity/Q3751216,Franco Chiavarini,Argentine,attaquant,4
http://www.wikidata.org/entity/Q3752771,Mikel Aguirregomezkorta Larrea,Espagne,avant-centre,5
http://www.wikidata.org/entity/Q3756469,Gabriel Ferrari,États-Unis,attaquant,4
http://www.wikidata.org/entity/Q3756469,Gabriel Ferrari,Italie,attaquant,4
http://www.wikidata.org/entity/Q3756680,Gabriele Scandurra,Italie,attaquant,0
http://www.wikidata.org/entity/Q3757154,Gaetano Vastola,Italie,défenseur,5
http://www.wikidata.org/entity/Q3758559,Gary Walsh,Royaume-Uni,gardien de but,8
http://www.wikidata.org/entity/Q3761782,Ghislain Akassou,Côte d'Ivoire,défenseur,5
http://www.wikidata.org/entity/Q3762154,Giacomo Lorenzini,Italie,attaquant,1
http://www.wikidata.org/entity/Q3762462,Giampaolo Di Magno,Italie,gardien de but,5
http://www.wikidata.org/entity/Q3763751,Gianpiero Piovani,Italie,milieu de terrain,5
http://www.wikidata.org/entity/Q3768101,Giovanni Savarese,États-Unis,attaquant,12
http://www.wikidata.org/entity/Q3768101,Giovanni Savarese,Venezuela,attaquant,12
http://www.wikidata.org/entity/Q3770751,Giuseppe Ingrosso,Italie,défenseur,1
http://www.wikidata.org/entity/Q3773464,Gorazd Zajc,Slovénie,milieu de terrain,4
http://www.wikidata.org/entity/Q3776602,Alejandro Campano,Espagne,milieu de terrain,10
