player,playerLabel,natLabel,posLabel,sitelinks
http://www.wikidata.org/entity/Q2699877,Fabrice Moreau,France,milieu de terrain,10
http://www.wikidata.org/entity/Q2699877,Fabrice Moreau,Cameroun,milieu de terrain,10
http://www.wikidata.org/entity/Q2700164,Yaya Banana,Cameroun,défenseur central,22
http://www.wikidata.org/entity/Q2700168,Sloan Privat,France,attaquant,15
http://www.wikidata.org/entity/Q2700689,Tomasz Cywka,Pologne,milieu de terrain,12
http://www.wikidata.org/entity/Q2701555,Julio Colombo,France,défenseur,9
http://www.wikidata.org/entity/Q2702821,Savvas Gentsoglou,Grèce,milieu de terrain,11
http://www.wikidata.org/entity/Q2703186,Juan Miguel Callejón,Espagne,milieu de terrain,16
http://www.wikidata.org/entity/Q2705560,Bülent Akın,Belgique,milieu de terrain,10
http://www.wikidata.org/entity/Q2705560,Bülent Akın,Turquie,milieu de terrain,10
http://www.wikidata.org/entity/Q2705563,Grenddy Perozo,Venezuela,défenseur central,12
http://www.wikidata.org/entity/Q2705675,Juanjo Camacho,Espagne,milieu de terrain,14
http://www.wikidata.org/entity/Q2706952,Saša Cilinšek,Serbie,défenseur,8
http://www.wikidata.org/entity/Q2710509,Grant McCann,Royaume-Uni,milieu de terrain,14
http://www.wikidata.org/entity/Q2713245,Asier Goiria,Espagne,avant-centre,11
http://www.wikidata.org/entity/Q2713306,Gustavo Pinedo,Bolivie,milieu excentré,9
http://www.wikidata.org/entity/Q2715625,Nenad Pralija,Croatie,milieu de terrain,15
http://www.wikidata.org/entity/Q2718152,Salah Bakour,France,milieu de terrain,9
http://www.wikidata.org/entity/Q2718152,Salah Bakour,Algérie,milieu de terrain,9
http://www.wikidata.org/entity/Q2718569,Tahar El Khalej,Maroc,milieu de terrain,18
http://www.wikidata.org/entity/Q2720734,Gunter Van Handenhoven,Belgique,milieu excentré,8
http://www.wikidata.org/entity/Q2721444,Ayoze García Pérez,Espagne,défenseur,12
http://www.wikidata.org/entity/Q2721444,Ayoze García Pérez,Espagne,milieu excentré,12
http://www.wikidata.org/entity/Q2721706,Kalifa Cissé,France,défenseur central,15
http://www.wikidata.org/entity/Q2721706,Kalifa Cissé,Mali,défenseur central,15
http://www.wikidata.org/entity/Q2721706,Kalifa Cissé,France,défenseur,15
http://www.wikidata.org/entity/Q2721706,Kalifa Cissé,Mali,défenseur,15
http://www.wikidata.org/entity/Q2722930,Francis N'Ganga,République du Congo,défenseur,16
http://www.wikidata.org/entity/Q2723051,David Sauget,France,défenseur,10
http://www.wikidata.org/entity/Q2723249,Franck Silvestre,France,défenseur,18
http://www.wikidata.org/entity/Q2723962,Roberto Nanni,Argentine,attaquant,13
http://www.wikidata.org/entity/Q2731855,Ma Mingyu,république populaire de Chine,milieu de terrain,21
http://www.wikidata.org/entity/Q2733851,Néstor Fabbri,Italie,défenseur central,19
http://www.wikidata.org/entity/Q2733851,Néstor Fabbri,Argentine,défenseur central,19
