player,playerLabel,natLabel,posLabel,sitelinks
http://www.wikidata.org/entity/Q688299,Armin Störzenhofecker,Allemagne,milieu de terrain,1
http://www.wikidata.org/entity/Q688954,Rémo Meyer,Suisse,défenseur,14
http://www.wikidata.org/entity/Q689063,Oliver Risser,Namibie,milieu de terrain,15
http://www.wikidata.org/entity/Q690876,Arnar Gunnlaugsson,Islande,attaquant,14
http://www.wikidata.org/entity/Q691423,Ionel Gane,Roumanie,attaquant,10
http://www.wikidata.org/entity/Q691470,Philippe Gaillot,France,défenseur,8
http://www.wikidata.org/entity/Q692842,Arne Tammen,Allemagne,défenseur,1
http://www.wikidata.org/entity/Q694948,Arnold Bruggink,Royaume des Pays-Bas,milieu de terrain,21
http://www.wikidata.org/entity/Q696768,Aleksander Knavs,Slovénie,défenseur central,23
http://www.wikidata.org/entity/Q696768,Aleksander Knavs,Slovénie,défenseur,23
http://www.wikidata.org/entity/Q697062,Marco Engelhardt,Allemagne,milieu de terrain,24
http://www.wikidata.org/entity/Q697134,Daniel Beichler,Autriche,milieu de terrain,12
http://www.wikidata.org/entity/Q697242,Simon Jentzsch,Allemagne,gardien de but,15
http://www.wikidata.org/entity/Q697632,Jorge Vargas,Chili,défenseur,13
http://www.wikidata.org/entity/Q698661,Michael Schjønberg,Royaume de Danemark,défenseur,20
http://www.wikidata.org/entity/Q698683,Slobodan Komljenović,Allemagne,défenseur central,21
http://www.wikidata.org/entity/Q698810,Timo Ochs,Allemagne,gardien de but,13
http://www.wikidata.org/entity/Q698901,Harald Cerny,Autriche,milieu de terrain,20
http://www.wikidata.org/entity/Q699062,Marcus Haber,Canada,attaquant,16
http://www.wikidata.org/entity/Q699279,Ezequiel Alejo Carboni,Argentine,milieu de terrain,14
http://www.wikidata.org/entity/Q700357,Rubin Okotie,Autriche,attaquant,31
http://www.wikidata.org/entity/Q701256,Markus Schopp,Autriche,milieu de terrain,21
http://www.wikidata.org/entity/Q703003,Jin-Yu Li,république populaire de Chine,attaquant,18
http://www.wikidata.org/entity/Q703229,Martin Wagner,Allemagne,milieu de terrain,20
http://www.wikidata.org/entity/Q703757,Martin Max,Pologne,attaquant,26
http://www.wikidata.org/entity/Q703757,Martin Max,Allemagne,attaquant,26
http://www.wikidata.org/entity/Q704086,Valeri Domovchiyski,Bulgarie,attaquant,17
http://www.wikidata.org/entity/Q704454,Njazi Kuqi,Finlande,attaquant,18
http://www.wikidata.org/entity/Q704688,Arsenio Iglesias,Espagne,attaquant,22
http://www.wikidata.org/entity/Q705456,Matthew Špiranović,Australie,défenseur,47
http://www.wikidata.org/entity/Q705931,Dick van Burik,Royaume des Pays-Bas,défenseur central,8
http://www.wikidata.org/entity/Q705931,Dick van Burik,Royaume des Pays-Bas,défenseur,8
http://www.wikidata.org/entity/Q706028,Lee Sharpe,Royaume-Uni,milieu de terrain,22
http://www.wikidata.org/entity/Q706113,Stuart McCall,Royaume-Uni,milieu de terrain,25
http://www.wikidata.org/entity/Q706191,Karl Svensson,Suède,défenseur,22
http://www.wikidata.org/entity/Q706390,Leandro Fonseca,Brésil,attaquant,10
http://www.wikidata.org/entity/Q706532,Daniel Bogusz,Pologne,défenseur,7
http://www.wikidata.org/entity/Q707048,Juan Carlos Menseguez,Argentine,attaquant,9
http://www.wikidata.org/entity/Q707217,Jiří Kaufman,Tchéquie,attaquant,9
http://www.wikidata.org/entity/Q707240,Godfried Aduobe,Ghana,milieu de terrain,9
http://www.wikidata.org/entity/Q708066,Bobby Convey,États-Unis,milieu excentré,20
http://www.wikidata.org/entity/Q708642,Marino Biliškov,Croatie,défenseur central,7
http://www.wikidata.org/entity/Q709619,Vladimír Labant,Slovaquie,défenseur,10
http://www.wikidata.org/entity/Q709914,Chavdar Yankov,Bulgarie,milieu de terrain,19
http://www.wikidata.org/entity/Q710388,Thomas Bælum,Royaume de Danemark,défenseur,6
http://www.wikidata.org/entity/Q710788,José Moreira,Portugal,gardien de but,20
http://www.wikidata.org/entity/Q711319,Vragel da Silva,Brésil,défenseur central,7
