player,playerLabel,natLabel,posLabel,sitelinks
http://www.wikidata.org/entity/Q2054985,Mamadou Diallo,Sénégal,attaquant,17
http://www.wikidata.org/entity/Q2055735,Ahmed Samir Farag,Égypte,milieu de terrain,11
http://www.wikidata.org/entity/Q2057795,Patrick Mayer,Allemagne,attaquant,5
http://www.wikidata.org/entity/Q2057884,Patrick Platins,Allemagne,gardien de but,9
http://www.wikidata.org/entity/Q2057994,Christian Kabasele,Belgique,défenseur central,37
http://www.wikidata.org/entity/Q2058042,Patrick Wittich,Allemagne,milieu de terrain,3
http://www.wikidata.org/entity/Q2058455,Nicolas Godemèche,France,milieu de terrain,6
http://www.wikidata.org/entity/Q2058643,Reynald Lemaître,France,défenseur,13
http://www.wikidata.org/entity/Q2059054,Nereo Champagne,Argentine,gardien de but,10
http://www.wikidata.org/entity/Q2059182,Alessandro Lambrughi,Italie,défenseur,7
http://www.wikidata.org/entity/Q2059420,Simon Makienok,Royaume de Danemark,attaquant,20
http://www.wikidata.org/entity/Q2062934,Steeve Théophile,France,attaquant,8
http://www.wikidata.org/entity/Q2063672,Juan Antonio,Argentine,attaquant,8
http://www.wikidata.org/entity/Q2064341,Pedro,Espagne,milieu de terrain,11
http://www.wikidata.org/entity/Q2064561,Pavel David,Tchéquie,attaquant,5
http://www.wikidata.org/entity/Q2066346,Álvaro Núñez,Uruguay,gardien de but,11
http://www.wikidata.org/entity/Q2066714,Pedro Obiang,Espagne,milieu de terrain,32
http://www.wikidata.org/entity/Q2066714,Pedro Obiang,Guinée équatoriale,milieu de terrain,32
http://www.wikidata.org/entity/Q2067333,Héldon,Cap-Vert,attaquant,18
http://www.wikidata.org/entity/Q2070432,Chaher Zarour,France,défenseur,10
http://www.wikidata.org/entity/Q2070455,Sanaa Altama,France,milieu de terrain,7
http://www.wikidata.org/entity/Q2070455,Sanaa Altama,Tchad,milieu de terrain,7
http://www.wikidata.org/entity/Q2070482,Sebastián Sosa Sánchez,Uruguay,attaquant,9
http://www.wikidata.org/entity/Q2070654,Sergi Enrich,Espagne,attaquant,23
http://www.wikidata.org/entity/Q2070917,Andy Delord,France,attaquant,24
http://www.wikidata.org/entity/Q2070917,Andy Delord,Algérie,attaquant,24
http://www.wikidata.org/entity/Q2071099,Christopher Mfuyi,République démocratique du Congo,défenseur,7
http://www.wikidata.org/entity/Q2071467,Helton Dos Reis,France,défenseur,8
http://www.wikidata.org/entity/Q2071467,Helton Dos Reis,Cap-Vert,défenseur,8
http://www.wikidata.org/entity/Q2071829,Hugo Filipe Vieira,Portugal,attaquant,24
http://www.wikidata.org/entity/Q2075390,Peter Hackenberg,Allemagne,défenseur central,6
http://www.wikidata.org/entity/Q2078239,Peter Schyrba,Allemagne,défenseur,4
http://www.wikidata.org/entity/Q2078369,Peter Sirch,Allemagne,gardien de but,4
http://www.wikidata.org/entity/Q2078588,Papa Demba Camara,Sénégal,gardien de but,15
http://www.wikidata.org/entity/Q2078606,Ribair Rodríguez,Espagne,milieu de terrain,11
http://www.wikidata.org/entity/Q2078606,Ribair Rodríguez,Uruguay,milieu de terrain,11
http://www.wikidata.org/entity/Q2079053,Linvoy Primus,Royaume-Uni,défenseur,15
http://www.wikidata.org/entity/Q2079160,Peter Zeiler,Allemagne,milieu de terrain,3
http://www.wikidata.org/entity/Q2079490,Guillaume Brenner,France,milieu de terrain,8
http://www.wikidata.org/entity/Q2079490,Guillaume Brenner,Togo,milieu de terrain,8
http://www.wikidata.org/entity/Q2080030,Petr Mikolanda,Tchéquie,attaquant,5
http://www.wikidata.org/entity/Q2080087,Edimar Curitiba Fraga,Brésil,arrière latéral,17
http://www.wikidata.org/entity/Q2080157,Carlos Carbonero,Colombie,milieu excentré,26
http://www.wikidata.org/entity/Q2081238,Javier Olaizola,Espagne,arrière latéral,10
http://www.wikidata.org/entity/Q2087098,Philipp Pentke,Allemagne,gardien de but,13
http://www.wikidata.org/entity/Q2087098,Philipp Pentke,République démocratique allemande,gardien de but,13
http://www.wikidata.org/entity/Q2097326,Vujadin Savić,France,défenseur,15
http://www.wikidata.org/entity/Q2097326,Vujadin Savić,Serbie,défenseur,15
http://www.wikidata.org/entity/Q2105300,Zakaria Diallo,France,défenseur,11
http://www.wikidata.org/entity/Q2105300,Zakaria Diallo,Sénégal,défenseur,11
http://www.wikidata.org/entity/Q2107714,Evans Nyarko,Ghana,défenseur central,6
http://www.wikidata.org/entity/Q2107714,Evans Nyarko,Allemagne,défenseur central,6
http://www.wikidata.org/entity/Q2108281,Thomas Pledl,Allemagne,milieu de terrain,12
http://www.wikidata.org/entity/Q2108412,Robert Zillner,Allemagne,milieu de terrain,6
http://www.wikidata.org/entity/Q2110911,Alen Peternac,Croatie,attaquant,14
http://www.wikidata.org/entity/Q2110911,Alen Peternac,république fédérative socialiste de Yougoslavie,attaquant,14
http://www.wikidata.org/entity/Q2113669,Essaïd Belkalem,Algérie,défenseur central,30
http://www.wikidata.org/entity/Q2113782,Filip Modelski,Pologne,défenseur,5
http://www.wikidata.org/entity/Q2113782,Filip Modelski,Pologne,arrière latéral,5
http://www.wikidata.org/entity/Q2121035,Jorge Cadete,Portugal,attaquant,17
http://www.wikidata.org/entity/Q2127085,Raffael Korte,Allemagne,milieu de terrain,6
http://www.wikidata.org/entity/Q2128159,Rainer Hauck,Allemagne,défenseur,5
http://www.wikidata.org/entity/Q2129282,Ralf Keidel,Allemagne,milieu de terrain,5
http://www.wikidata.org/entity/Q2129393,Ralf Schmidt,Allemagne,défenseur,5
http://www.wikidata.org/entity/Q2134030,Rayk Schröder,Allemagne,défenseur,4
http://www.wikidata.org/entity/Q2134320,Marc van Hintum,Royaume des Pays-Bas,arrière latéral,8
