player,playerLabel,natLabel,posLabel,sitelinks
http://www.wikidata.org/entity/Q10382139,Evan Horwood,Royaume-Uni,défenseur,6
http://www.wikidata.org/entity/Q10393375,Xhulian Rrudho,Albanie,attaquant,3
http://www.wikidata.org/entity/Q10396118,Jimmy Corbett,Royaume-Uni,milieu de terrain,5
http://www.wikidata.org/entity/Q10399189,Nick Wright,Royaume-Uni,attaquant,3
http://www.wikidata.org/entity/Q10401761,Phil Stamp,Royaume-Uni,milieu de terrain,6
http://www.wikidata.org/entity/Q10401767,Jamie Cade,Royaume-Uni,attaquant,5
http://www.wikidata.org/entity/Q10410097,Jamie Annerson,Royaume-Uni,gardien de but,6
http://www.wikidata.org/entity/Q10413152,Nick Wright,Royaume-Uni,attaquant,2
http://www.wikidata.org/entity/Q10414193,John Dreyer,Royaume-Uni,défenseur,6
http://www.wikidata.org/entity/Q10421241,Pat Flynn,Irlande,défenseur,4
http://www.wikidata.org/entity/Q10441917,Jamie Clarke,Royaume-Uni,attaquant,5
http://www.wikidata.org/entity/Q10445086,Jack Jeffery,Royaume-Uni,attaquant,3
http://www.wikidata.org/entity/Q10478280,Jonathan Page,Royaume-Uni,défenseur,3
http://www.wikidata.org/entity/Q10491042,José Romero Jiménez,Espagne,attaquant,6
http://www.wikidata.org/entity/Q10492080,Mehdi Bourabia,France,milieu de terrain,18
http://www.wikidata.org/entity/Q10492886,Jean-Baptiste Le Bescond,France,milieu de terrain,4
http://www.wikidata.org/entity/Q10492937,Mickaël Pontal,France,défenseur,4
http://www.wikidata.org/entity/Q10493144,Julien Perrin,France,attaquant,4
http://www.wikidata.org/entity/Q10494611,Stuart Anderson,Royaume-Uni,milieu de terrain,4
http://www.wikidata.org/entity/Q10498391,Paul Downing,Royaume-Uni,défenseur,6
http://www.wikidata.org/entity/Q10505207,Ivan Loseto,Italie,défenseur,3
http://www.wikidata.org/entity/Q10505439,Roberto Cortese,Italie,attaquant,2
http://www.wikidata.org/entity/Q10513615,Maycol Andriani,Italie,milieu de terrain,3
http://www.wikidata.org/entity/Q10513776,David Gbemie,Liberia,défenseur central,1
http://www.wikidata.org/entity/Q10513999,Liam Tomsett,Royaume-Uni,milieu de terrain,4
http://www.wikidata.org/entity/Q10514548,Mike Busch,Allemagne,attaquant,3
http://www.wikidata.org/entity/Q10514868,Michael Hector,Royaume-Uni,défenseur,22
http://www.wikidata.org/entity/Q10520024,Michael O'Halloran,Royaume-Uni,attaquant,8
http://www.wikidata.org/entity/Q10521567,Giampaolo Calzi,Italie,milieu de terrain,4
http://www.wikidata.org/entity/Q10524462,Luca Ricci,Italie,défenseur,5
http://www.wikidata.org/entity/Q10524798,Rubén Primo Iznardo,Espagne,défenseur,5
http://www.wikidata.org/entity/Q10529465,Eros Bagnara,Italie,attaquant,4
http://www.wikidata.org/entity/Q10530495,Simone Calvano,Italie,milieu de terrain,5
http://www.wikidata.org/entity/Q10531459,Lilian Bochet,France,milieu de terrain,3
http://www.wikidata.org/entity/Q10535896,Harry Panayiotou,Royaume-Uni,attaquant,10
http://www.wikidata.org/entity/Q10539605,Guido Davì,Italie,milieu de terrain,3
http://www.wikidata.org/entity/Q10539634,Marco Tattini,Italie,milieu de terrain,4
http://www.wikidata.org/entity/Q10542714,Ivan Kurtušić,Serbie,milieu de terrain,3
http://www.wikidata.org/entity/Q10542722,Matty Pearson,Royaume-Uni,défenseur,8
http://www.wikidata.org/entity/Q10543112,Alex Grant,Australie,défenseur,10
http://www.wikidata.org/entity/Q10548094,Paul Babiloni,France,défenseur,6
http://www.wikidata.org/entity/Q10555650,Mauro dos Santos,Espagne,défenseur,22
http://www.wikidata.org/entity/Q10555650,Mauro dos Santos,Argentine,défenseur,22
http://www.wikidata.org/entity/Q10555692,Dominic Vose,Royaume-Uni,milieu de terrain,3
http://www.wikidata.org/entity/Q10555855,Craig Etherington,Royaume-Uni,milieu de terrain,6
http://www.wikidata.org/entity/Q10555877,Joao Rodriguez,Colombie,milieu excentré,14
http://www.wikidata.org/entity/Q10556299,Predrag Rajković,Serbie,gardien de but,36
http://www.wikidata.org/entity/Q10557105,Michal Hrivňák,Slovaquie,gardien de but,3
http://www.wikidata.org/entity/Q10557230,Rémi Pillot,Belgique,gardien de but,7
http://www.wikidata.org/entity/Q10557230,Rémi Pillot,France,gardien de but,7
http://www.wikidata.org/entity/Q10857014,Ashley Westwood,Royaume-Uni,défenseur,7
http://www.wikidata.org/entity/Q10860995,Naomichi Ueda,Japon,défenseur,50
http://www.wikidata.org/entity/Q11224090,Eirik Birkelund,Norvège,milieu de terrain,6
http://www.wikidata.org/entity/Q11355490,Pa Konate,Suède,défenseur,21
http://www.wikidata.org/entity/Q11355490,Pa Konate,Guinée,défenseur,21
http://www.wikidata.org/entity/Q11598914,Saad Trabelsi,France,attaquant,1
http://www.wikidata.org/entity/Q11681433,Elías Molina,Espagne,milieu de terrain,7
http://www.wikidata.org/entity/Q11696563,Omar Sampedro Bernardo,Espagne,attaquant,7
http://www.wikidata.org/entity/Q11875695,Liam O'Neil,Royaume-Uni,défenseur,7
http://www.wikidata.org/entity/Q11904420,Agustín Villar Hernando,Espagne,milieu de terrain,7
http://www.wikidata.org/entity/Q11904822,Alberto López Arteseros,Espagne,milieu excentré,6
http://www.wikidata.org/entity/Q11927019,Iván Casquero,Espagne,défenseur,5
http://www.wikidata.org/entity/Q11927407,Javier García García,Espagne,défenseur,7
http://www.wikidata.org/entity/Q11929074,José Eloy Jiménez Moreno,Espagne,attaquant,8
http://www.wikidata.org/entity/Q11929192,José Ramón Rodríguez Gómez,Espagne,gardien de but,7
http://www.wikidata.org/entity/Q11929281,Juan Eleder Acedo Elorriaga,Espagne,arrière latéral,3
http://www.wikidata.org/entity/Q11935555,Mario Larrea Vargas,Espagne,attaquant,2
http://www.wikidata.org/entity/Q11936915,Miki Garro,Espagne,gardien de but,3
