player,club,clubLabel,apps,start,end
http://www.wikidata.org/entity/Q688299,http://www.wikidata.org/entity/Q447934,MTV Ingolstadt,28.0,1987-01-01T00:00:00Z,1988-01-01T00:00:00Z
http://www.wikidata.org/entity/Q688299,http://www.wikidata.org/entity/Q131603,TSV Munich 1860,179.0,1989-01-01T00:00:00Z,1995-01-01T00:00:00Z
http://www.wikidata.org/entity/Q688299,http://www.wikidata.org/entity/Q153539,SpVgg Greuther Fürth,66.0,1983-01-01T00:00:00Z,1985-01-01T00:00:00Z
http://www.wikidata.org/entity/Q688299,http://www.wikidata.org/entity/Q15786,1. FC Nuremberg,173.0,1995-01-01T00:00:00Z,2002-01-01T00:00:00Z
http://www.wikidata.org/entity/Q688299,http://www.wikidata.org/entity/Q15755,FC Augsbourg,30.0,1988-01-01T00:00:00Z,1989-01-01T00:00:00Z
http://www.wikidata.org/entity/Q688299,http://www.wikidata.org/entity/Q15786,1. FC Nuremberg,67.0,1985-01-01T00:00:00Z,1987-01-01T00:00:00Z
http://www.wikidata.org/entity/Q688954,http://www.wikidata.org/entity/Q131603,TSV Munich 1860,86.0,2002-01-01T00:00:00Z,2006-01-01T00:00:00Z
http://www.wikidata.org/entity/Q688954,http://www.wikidata.org/entity/Q309456,FC Lausanne-Sport,64.0,2000-01-01T00:00:00Z,2002-01-01T00:00:00Z
http://www.wikidata.org/entity/Q688954,http://www.wikidata.org/entity/Q223262,FC Lucerne,37.0,1997-01-01T00:00:00Z,2000-01-01T00:00:00Z
http://www.wikidata.org/entity/Q688954,http://www.wikidata.org/entity/Q994811,Red Bull Salzbourg,45.0,2006-01-01T00:00:00Z,2009-01-01T00:00:00Z
http://www.wikidata.org/entity/Q688954,http://www.wikidata.org/entity/Q678582,équipe de Suisse espoirs de football,22.0,1998-01-01T00:00:00Z,2002-01-01T00:00:00Z
http://www.wikidata.org/entity/Q688954,http://www.wikidata.org/entity/Q165141,équipe de Suisse de football,5.0,2002-01-01T00:00:00Z,2004-01-01T00:00:00Z
http://www.wikidata.org/entity/Q689063,http://www.wikidata.org/entity/Q382324,Kuopion Palloseura,8.0,2010-01-01T00:00:00Z,2010-01-01T00:00:00Z
http://www.wikidata.org/entity/Q689063,http://www.wikidata.org/entity/Q328687,équipe de Namibie de football,31.0,2002-01-01T00:00:00Z,2011-01-01T00:00:00Z
http://www.wikidata.org/entity/Q689063,http://www.wikidata.org/entity/Q2469554,Manglerud Star Toppfotball,15.0,2009-01-01T00:00:00Z,2009-01-01T00:00:00Z
http://www.wikidata.org/entity/Q689063,http://www.wikidata.org/entity/Q9426,Stevenage FC,6.0,2012-01-01T00:00:00Z,2012-01-01T00:00:00Z
http://www.wikidata.org/entity/Q689063,http://www.wikidata.org/entity/Q382324,Kuopion Palloseura,8.0,2010-01-01T00:00:00Z,2011-01-01T00:00:00Z
http://www.wikidata.org/entity/Q689063,http://www.wikidata.org/entity/Q48862,Aldershot Town Football Club,5.0,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z
http://www.wikidata.org/entity/Q689063,http://www.wikidata.org/entity/Q1999744,Ramblers Football Club,,2014-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q689063,http://www.wikidata.org/entity/Q9426,Stevenage FC,12.0,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z
http://www.wikidata.org/entity/Q689063,http://www.wikidata.org/entity/Q737937,FK Lyn,7.0,2009-01-01T00:00:00Z,2009-01-01T00:00:00Z
http://www.wikidata.org/entity/Q689063,http://www.wikidata.org/entity/Q325223,SpVgg EGC Wirges,21.0,1999-01-01T00:00:00Z,2003-01-01T00:00:00Z
http://www.wikidata.org/entity/Q689063,http://www.wikidata.org/entity/Q737937,FK Lyn,7.0,2009-01-01T00:00:00Z,2010-01-01T00:00:00Z
http://www.wikidata.org/entity/Q689063,http://www.wikidata.org/entity/Q377953,Breiðablik Kopavogur,6.0,2006-01-01T00:00:00Z,2006-01-01T00:00:00Z
http://www.wikidata.org/entity/Q689063,http://www.wikidata.org/entity/Q33748,Hanovre 96,6.0,2008-01-01T00:00:00Z,2008-01-01T00:00:00Z
http://www.wikidata.org/entity/Q689063,http://www.wikidata.org/entity/Q865720,Borussia Dortmund II,33.0,2003-01-01T00:00:00Z,2005-01-01T00:00:00Z
http://www.wikidata.org/entity/Q689063,http://www.wikidata.org/entity/Q408554,Airdrie United Football Club,1.0,2002-01-01T00:00:00Z,2002-01-01T00:00:00Z
http://www.wikidata.org/entity/Q689063,http://www.wikidata.org/entity/Q1999744,Ramblers Football Club,,2000-01-01T00:00:00Z,2001-01-01T00:00:00Z
http://www.wikidata.org/entity/Q689063,http://www.wikidata.org/entity/Q568276,Bonner SC,32.0,2006-01-01T00:00:00Z,2007-01-01T00:00:00Z
http://www.wikidata.org/entity/Q689063,http://www.wikidata.org/entity/Q639525,SV Sandhausen,28.0,2005-01-01T00:00:00Z,2006-01-01T00:00:00Z
http://www.wikidata.org/entity/Q689063,http://www.wikidata.org/entity/Q737937,FK Lyn,11.0,2010-01-01T00:00:00Z,2010-01-01T00:00:00Z
http://www.wikidata.org/entity/Q689063,http://www.wikidata.org/entity/Q2303493,Eastleigh Football Club,,2014-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q689063,http://www.wikidata.org/entity/Q19634,Swindon Town Football Club,32.0,2011-01-01T00:00:00Z,2013-01-01T00:00:00Z
http://www.wikidata.org/entity/Q689063,http://www.wikidata.org/entity/Q48862,Aldershot Town Football Club,14.0,2013-01-01T00:00:00Z,2013-01-01T00:00:00Z
http://www.wikidata.org/entity/Q689063,http://www.wikidata.org/entity/Q610447,Cowdenbeath Football Club,1.0,2002-01-01T00:00:00Z,2002-01-01T00:00:00Z
http://www.wikidata.org/entity/Q690876,http://www.wikidata.org/entity/Q291691,ÍA Akranes,2.0,1997-01-01T00:00:00Z,1997-01-01T00:00:00Z
http://www.wikidata.org/entity/Q690876,http://www.wikidata.org/entity/Q192873,Dundee United FC,6.0,2002-01-01T00:00:00Z,2003-01-01T00:00:00Z
http://www.wikidata.org/entity/Q690876,http://www.wikidata.org/entity/Q5985726,équipe d'Islande de football des moins de 19 ans,13.0,1988-01-01T00:00:00Z,1990-01-01T00:00:00Z
