player,club,clubLabel,apps,start,end
http://www.wikidata.org/entity/Q22667707,http://www.wikidata.org/entity/Q105844,DSC Arminia Bielefeld,19.0,2017-01-01T00:00:00Z,2019-01-01T00:00:00Z
http://www.wikidata.org/entity/Q22677930,http://www.wikidata.org/entity/Q44441,Al-Ahli SC,55.0,2018-07-01T00:00:00Z,
http://www.wikidata.org/entity/Q22677930,http://www.wikidata.org/entity/Q189723,équipe d'Arabie saoudite de football,7.0,2017-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q22677930,http://www.wikidata.org/entity/Q10319,Real Valladolid,0.0,2018-01-01T00:00:00Z,2018-06-01T00:00:00Z
http://www.wikidata.org/entity/Q22677930,http://www.wikidata.org/entity/Q2701659,Al-Fateh,47.0,2012-01-01T00:00:00Z,2018-06-01T00:00:00Z
http://www.wikidata.org/entity/Q22679453,http://www.wikidata.org/entity/Q19521,AS Saint-Étienne,13.0,2011-01-01T00:00:00Z,2013-01-01T00:00:00Z
http://www.wikidata.org/entity/Q22679453,http://www.wikidata.org/entity/Q1462564,PFC Montana,,2016-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q22679453,http://www.wikidata.org/entity/Q297929,ASo Chlef,3.0,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z
http://www.wikidata.org/entity/Q22679453,http://www.wikidata.org/entity/Q797530,Istres FC,1.0,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z
http://www.wikidata.org/entity/Q22807602,http://www.wikidata.org/entity/Q3963253,Sociedad Deportiva Balmaseda Fútbol Club,56.0,2017-01-01T00:00:00Z,2021-01-01T00:00:00Z
http://www.wikidata.org/entity/Q22807602,http://www.wikidata.org/entity/Q8687,Athletic Bilbao,,2004-01-01T00:00:00Z,2013-01-01T00:00:00Z
http://www.wikidata.org/entity/Q22807602,http://www.wikidata.org/entity/Q727093,Club Deportivo Basconia,44.0,2013-01-01T00:00:00Z,2015-01-01T00:00:00Z
http://www.wikidata.org/entity/Q22807602,http://www.wikidata.org/entity/Q3681525,CD Vitoria,59.0,2015-01-01T00:00:00Z,2017-01-01T00:00:00Z
http://www.wikidata.org/entity/Q22807602,http://www.wikidata.org/entity/Q770740,SD Eibar,1.0,2016-01-01T00:00:00Z,2016-01-01T00:00:00Z
