player,club,clubLabel,apps,start,end
http://www.wikidata.org/entity/Q2699877,http://www.wikidata.org/entity/Q210864,Le Mans Football Club,,1990-01-01T00:00:00Z,1991-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2699877,http://www.wikidata.org/entity/Q522283,Red Star FC,10.0,2001-01-01T00:00:00Z,2002-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2699877,http://www.wikidata.org/entity/Q483020,Paris Saint-Germain FC,54.0,1993-01-01T00:00:00Z,1995-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2699877,http://www.wikidata.org/entity/Q822722,Partick Thistle FC,0.0,2003-01-01T00:00:00Z,2004-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2699877,http://www.wikidata.org/entity/Q659780,Grazer AK,0.0,2002-01-01T00:00:00Z,2003-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2699877,http://www.wikidata.org/entity/Q12158,Club Deportivo Numancia,10.0,1999-01-01T00:00:00Z,2000-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2699877,http://www.wikidata.org/entity/Q1345161,Airdrieonians Football Club,5.0,2001-01-01T00:00:00Z,2001-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2699877,http://www.wikidata.org/entity/Q173009,Étoile rouge Belgrade,10.0,2001-01-01T00:00:00Z,2002-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2699877,http://www.wikidata.org/entity/Q814738,Beijing Guoan,18.0,1999-01-01T00:00:00Z,1999-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2699877,http://www.wikidata.org/entity/Q2932033,CS Meaux Academy,0.0,1991-01-01T00:00:00Z,1992-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2699877,http://www.wikidata.org/entity/Q1051013,Paris FC,54.0,1993-01-01T00:00:00Z,1995-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2699877,http://www.wikidata.org/entity/Q483020,Paris Saint-Germain FC,2.0,1984-01-01T00:00:00Z,1989-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2699877,http://www.wikidata.org/entity/Q2043779,Vendée Foot Club La Roche-sur-Yon,27.0,1987-01-01T00:00:00Z,1988-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2699877,http://www.wikidata.org/entity/Q408554,Airdrie United Football Club,,2000-01-01T00:00:00Z,2001-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2699877,http://www.wikidata.org/entity/Q10300,Rayo Vallecano,63.0,1996-01-01T00:00:00Z,1998-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2699877,http://www.wikidata.org/entity/Q982889,Racing Club de France,29.0,1992-01-01T00:00:00Z,1993-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2699877,http://www.wikidata.org/entity/Q175309,équipe du Cameroun de football,6.0,1997-01-01T00:00:00Z,1998-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2699877,http://www.wikidata.org/entity/Q2290788,Talavera CF,5.0,1998-01-01T00:00:00Z,1999-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2699877,http://www.wikidata.org/entity/Q132885,Olympique de Marseille,15.0,1995-01-01T00:00:00Z,1996-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2699877,http://www.wikidata.org/entity/Q1056987,SC Toulon,10.0,1996-01-01T00:00:00Z,1996-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2699877,http://www.wikidata.org/entity/Q19598,Notts County FC,24.0,2001-01-01T00:00:00Z,2001-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2700164,http://www.wikidata.org/entity/Q44897,Espérance sportive de Tunis,31.0,2009-07-01T00:00:00Z,2012-01-19T00:00:00Z
http://www.wikidata.org/entity/Q2700164,http://www.wikidata.org/entity/Q175309,équipe du Cameroun de football,,2015-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q2700164,http://www.wikidata.org/entity/Q19512,Football Club Sochaux-Montbéliard,26.0,2012-01-19T00:00:00Z,2014-07-31T00:00:00Z
http://www.wikidata.org/entity/Q2700164,http://www.wikidata.org/entity/Q24474,Platanias FC,,2014-07-31T00:00:00Z,2017-07-01T00:00:00Z
http://www.wikidata.org/entity/Q2700164,http://www.wikidata.org/entity/Q3590615,équipe du Cameroun de football des moins de 20 ans,14.0,2009-01-01T00:00:00Z,2011-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2700164,http://www.wikidata.org/entity/Q309456,FC Lausanne-Sport,16.0,2013-08-31T00:00:00Z,2014-06-30T00:00:00Z
http://www.wikidata.org/entity/Q2700164,http://www.wikidata.org/entity/Q19628,Olympiakós,,2017-07-01T00:00:00Z,
http://www.wikidata.org/entity/Q2700164,http://www.wikidata.org/entity/Q460494,Paniónios GSS,,2017-07-02T00:00:00Z,2019-06-30T00:00:00Z
http://www.wikidata.org/entity/Q2700168,http://www.wikidata.org/entity/Q726592,équipe de Guyane de football,,2015-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q2700168,http://www.wikidata.org/entity/Q1277549,équipe de France espoirs de football,1.0,2011-01-01T00:00:00Z,2011-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2700168,http://www.wikidata.org/entity/Q556570,Ankaraspor,,2019-01-01T00:00:00Z,2019-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2700168,http://www.wikidata.org/entity/Q19512,Football Club Sochaux-Montbéliard,,2019-01-01T00:00:00Z,2020-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2700168,http://www.wikidata.org/entity/Q212269,Valenciennes FC,,2018-01-01T00:00:00Z,2019-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2700168,http://www.wikidata.org/entity/Q870182,Clermont Foot 63,36.0,2010-01-01T00:00:00Z,2011-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2700168,http://www.wikidata.org/entity/Q459148,En avant Guingamp,,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2700168,http://www.wikidata.org/entity/Q19512,Football Club Sochaux-Montbéliard,96.0,2007-01-01T00:00:00Z,2013-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2700168,http://www.wikidata.org/entity/Q459148,En avant Guingamp,,2016-01-01T00:00:00Z,2018-01-01T00:00:00Z
