player,club,apps,start,end
http://www.wikidata.org/entity/Q113485045,http://www.wikidata.org/entity/Q48879,23.0,2023-09-01T00:00:00Z,
http://www.wikidata.org/entity/Q1099578,http://www.wikidata.org/entity/Q48879,7.0,2011-01-01T00:00:00Z,2011-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1101589,http://www.wikidata.org/entity/Q48879,2.0,2003-01-01T00:00:00Z,2005-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1125100,http://www.wikidata.org/entity/Q50602,2.0,2003-01-01T00:00:00Z,2004-01-01T00:00:00Z
http://www.wikidata.org/entity/Q113916,http://www.wikidata.org/entity/Q50602,138.0,2005-01-01T00:00:00Z,2010-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1151757,http://www.wikidata.org/entity/Q48879,26.0,2011-01-01T00:00:00Z,2012-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1151757,http://www.wikidata.org/entity/Q48879,84.0,2012-01-01T00:00:00Z,2015-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1159141,http://www.wikidata.org/entity/Q48879,17.0,2000-01-01T00:00:00Z,2001-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1163856,http://www.wikidata.org/entity/Q50602,51.0,2002-01-01T00:00:00Z,2005-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1179451,http://www.wikidata.org/entity/Q48879,64.0,2006-01-01T00:00:00Z,2008-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1181147,http://www.wikidata.org/entity/Q48879,142.0,2003-01-01T00:00:00Z,2007-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1181147,http://www.wikidata.org/entity/Q48879,74.0,1999-01-01T00:00:00Z,2001-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1184033,http://www.wikidata.org/entity/Q48879,15.0,2004-01-01T00:00:00Z,2004-01-01T00:00:00Z
http://www.wikidata.org/entity/Q119562,http://www.wikidata.org/entity/Q50602,275.0,2011-01-01T00:00:00Z,2021-07-01T00:00:00Z
http://www.wikidata.org/entity/Q1228392,http://www.wikidata.org/entity/Q48879,47.0,2004-01-01T00:00:00Z,2006-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1228392,http://www.wikidata.org/entity/Q50602,73.0,1994-01-01T00:00:00Z,2001-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1260149,http://www.wikidata.org/entity/Q48879,11.0,2010-01-01T00:00:00Z,2010-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1272520,http://www.wikidata.org/entity/Q50602,9.0,2000-01-01T00:00:00Z,2002-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1283288,http://www.wikidata.org/entity/Q50602,4.0,2002-01-01T00:00:00Z,2005-01-01T00:00:00Z
http://www.wikidata.org/entity/Q129700,http://www.wikidata.org/entity/Q50602,54.0,2010-01-01T00:00:00Z,2013-01-31T00:00:00Z
http://www.wikidata.org/entity/Q13014035,http://www.wikidata.org/entity/Q48879,33.0,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1328702,http://www.wikidata.org/entity/Q50602,88.0,1995-01-01T00:00:00Z,1999-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1353663,http://www.wikidata.org/entity/Q48879,8.0,2002-01-01T00:00:00Z,2004-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1354591,http://www.wikidata.org/entity/Q48879,13.0,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1362048,http://www.wikidata.org/entity/Q50602,71.0,2001-01-01T00:00:00Z,2003-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1366485,http://www.wikidata.org/entity/Q48879,3.0,2009-01-01T00:00:00Z,2009-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1368569,http://www.wikidata.org/entity/Q50602,0.0,2005-01-01T00:00:00Z,2006-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1370451,http://www.wikidata.org/entity/Q48879,96.0,2011-01-01T00:00:00Z,2014-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1383907,http://www.wikidata.org/entity/Q50602,184.0,1998-01-01T00:00:00Z,2003-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1395963,http://www.wikidata.org/entity/Q50602,0.0,2007-01-01T00:00:00Z,2008-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1396034,http://www.wikidata.org/entity/Q50602,0.0,2007-01-01T00:00:00Z,2008-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1399750,http://www.wikidata.org/entity/Q50602,14.0,2002-01-01T00:00:00Z,2006-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1400231,http://www.wikidata.org/entity/Q50602,66.0,1999-01-01T00:00:00Z,2001-01-01T00:00:00Z
http://www.wikidata.org/entity/Q142283,http://www.wikidata.org/entity/Q50602,32.0,2003-01-01T00:00:00Z,2004-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1441577,http://www.wikidata.org/entity/Q48879,98.0,2014-01-01T00:00:00Z,2017-01-01T00:00:00Z
http://www.wikidata.org/entity/Q14637461,http://www.wikidata.org/entity/Q50602,0.0,2015-01-01T00:00:00Z,2017-01-01T00:00:00Z
http://www.wikidata.org/entity/Q147589,http://www.wikidata.org/entity/Q50602,82.0,2009-01-01T00:00:00Z,2013-01-01T00:00:00Z
http://www.wikidata.org/entity/Q150332,http://www.wikidata.org/entity/Q48879,4.0,2012-01-01T00:00:00Z,2012-01-01T00:00:00Z
http://www.wikidata.org/entity/Q150947,http://www.wikidata.org/entity/Q50602,78.0,2013-09-01T00:00:00Z,2016-08-10T00:00:00Z
http://www.wikidata.org/entity/Q151260,http://www.wikidata.org/entity/Q50602,16.0,2010-01-01T00:00:00Z,2011-01-01T00:00:00Z
