player,playerLabel,natLabel,posLabel,club,apps,start,end
http://www.wikidata.org/entity/Q4761244,Andy Robinson,Royaume-Uni,milieu de terrain,http://www.wikidata.org/entity/Q18732,0.0,2012-01-01T00:00:00Z,2014-01-01T00:00:00Z
http://www.wikidata.org/entity/Q476621,Alexander Östlund,Suède,arrière latéral,http://www.wikidata.org/entity/Q18732,44.0,2006-01-01T00:00:00Z,2008-01-01T00:00:00Z
http://www.wikidata.org/entity/Q4773314,Anthony Pulis,Royaume-Uni,milieu de terrain,http://www.wikidata.org/entity/Q18732,0.0,2008-01-01T00:00:00Z,2011-01-01T00:00:00Z
http://www.wikidata.org/entity/Q4796062,Arron Davies,Royaume-Uni,milieu de terrain,http://www.wikidata.org/entity/Q18732,0.0,2002-01-01T00:00:00Z,2004-01-01T00:00:00Z
http://www.wikidata.org/entity/Q481330,Cedric Soares,Portugal,arrière latéral,http://www.wikidata.org/entity/Q18732,120.0,2015-01-01T00:00:00Z,2020-06-30T00:00:00Z
http://www.wikidata.org/entity/Q1027448,David Hirst,Royaume-Uni,attaquant,http://www.wikidata.org/entity/Q18732,30.0,1997-01-01T00:00:00Z,2000-01-01T00:00:00Z
http://www.wikidata.org/entity/Q10379653,Stephen Hunt,Royaume-Uni,défenseur,http://www.wikidata.org/entity/Q18732,0.0,2003-01-01T00:00:00Z,2004-01-01T00:00:00Z
http://www.wikidata.org/entity/Q10379787,Paul Murray,Royaume-Uni,milieu de terrain,http://www.wikidata.org/entity/Q18732,1.0,2001-01-01T00:00:00Z,2001-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1043454,Carlton Palmer,Royaume-Uni,milieu de terrain,http://www.wikidata.org/entity/Q18732,45.0,1997-01-01T00:00:00Z,1999-01-01T00:00:00Z
http://www.wikidata.org/entity/Q10442444,Jake Thomson,Royaume-Uni,milieu de terrain,http://www.wikidata.org/entity/Q18732,14.0,2008-01-01T00:00:00Z,2010-01-01T00:00:00Z
http://www.wikidata.org/entity/Q10452041,Nicholas Bignall,Royaume-Uni,milieu excentré,http://www.wikidata.org/entity/Q18732,3.0,2010-01-01T00:00:00Z,2010-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1058697,Leon Best,Irlande,attaquant,http://www.wikidata.org/entity/Q18732,15.0,2004-01-01T00:00:00Z,2007-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1059589,Martin Cranie,Royaume-Uni,défenseur central,http://www.wikidata.org/entity/Q18732,16.0,2004-01-01T00:00:00Z,2007-01-01T00:00:00Z
