player,club,apps,start,end
http://www.wikidata.org/entity/Q39230,http://www.wikidata.org/entity/Q483020,323.0,2013-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q100602910,http://www.wikidata.org/entity/Q483020,1.0,2023-01-01T00:00:00Z,2024-01-01T00:00:00Z
http://www.wikidata.org/entity/Q100602910,http://www.wikidata.org/entity/Q483020,25.0,2022-01-01T00:00:00Z,2023-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1028024,http://www.wikidata.org/entity/Q328658,64.0,2009-01-01T00:00:00Z,2011-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1032681,http://www.wikidata.org/entity/Q333838,17.0,2014-01-01T00:00:00Z,2017-07-02T00:00:00Z
http://www.wikidata.org/entity/Q1033780,http://www.wikidata.org/entity/Q866884,14.0,2002-01-01T00:00:00Z,2003-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1042545,http://www.wikidata.org/entity/Q870182,7.0,2009-01-01T00:00:00Z,2010-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1043139,http://www.wikidata.org/entity/Q483020,11.0,2012-01-01T00:00:00Z,2012-01-01T00:00:00Z
http://www.wikidata.org/entity/Q10468816,http://www.wikidata.org/entity/Q870182,2.0,2006-01-01T00:00:00Z,2008-01-01T00:00:00Z
http://www.wikidata.org/entity/Q10478307,http://www.wikidata.org/entity/Q1051013,26.0,1999-01-01T00:00:00Z,2000-01-01T00:00:00Z
http://www.wikidata.org/entity/Q39444,http://www.wikidata.org/entity/Q483020,55.0,2001-07-01T00:00:00Z,2003-07-01T00:00:00Z
http://www.wikidata.org/entity/Q39728,http://www.wikidata.org/entity/Q503317,0.0,2006-01-01T00:00:00Z,2007-01-01T00:00:00Z
http://www.wikidata.org/entity/Q39730,http://www.wikidata.org/entity/Q870182,101.0,2006-01-01T00:00:00Z,2009-01-01T00:00:00Z
http://www.wikidata.org/entity/Q39746,http://www.wikidata.org/entity/Q730809,70.0,2009-01-01T00:00:00Z,2011-01-01T00:00:00Z
http://www.wikidata.org/entity/Q39751,http://www.wikidata.org/entity/Q845137,15.0,2012-01-01T00:00:00Z,2012-01-01T00:00:00Z
http://www.wikidata.org/entity/Q39754,http://www.wikidata.org/entity/Q608988,154.0,2006-01-01T00:00:00Z,2012-01-01T00:00:00Z
http://www.wikidata.org/entity/Q44073,http://www.wikidata.org/entity/Q483020,14.0,2004-01-01T00:00:00Z,2005-01-01T00:00:00Z
http://www.wikidata.org/entity/Q44629,http://www.wikidata.org/entity/Q503317,3.0,2004-01-01T00:00:00Z,2005-01-01T00:00:00Z
http://www.wikidata.org/entity/Q44629,http://www.wikidata.org/entity/Q845137,29.0,2005-01-01T00:00:00Z,2006-01-01T00:00:00Z
http://www.wikidata.org/entity/Q44643,http://www.wikidata.org/entity/Q333838,116.0,2009-01-01T00:00:00Z,2014-01-01T00:00:00Z
http://www.wikidata.org/entity/Q44656,http://www.wikidata.org/entity/Q483020,0.0,2005-01-01T00:00:00Z,2006-01-01T00:00:00Z
http://www.wikidata.org/entity/Q44665,http://www.wikidata.org/entity/Q333838,63.0,2012-01-01T00:00:00Z,2015-01-01T00:00:00Z
http://www.wikidata.org/entity/Q44671,http://www.wikidata.org/entity/Q797530,28.0,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z
